the_geom,Serial,stopID,stopCode,stopName,Lon,Lat,Shelby County Zip Codes,Memphis 3.0 Focus Anchors Buffers,Memphis 3.0 Planning Districts,City Council Districts
POINT (-90.02812599999999 35.136915000000045),2110,4397,PAUUNINM,PAULINE@UNION,-90.028126,35.136915,4,,8,6
POINT (-89.86601299999995 35.20458300000007),2780,982,STABARWF,STAGE@BARTLETT BLVD,-89.866013,35.204583,28,,,
POINT (-90.03226199999995 35.210848000000055),3137,1366,THOGILNF,THOMAS@GILLILAND,-90.032262,35.210848,23,,1,7
POINT (-89.91326099999998 35.131162000000074),3299,3075,WALECHEF,WALNUT GROVE RD@ECHERRY DR,-89.913261,35.131162,16,,9,4
POINT (-89.96944399999995 35.225010000000054),2557,1656,SCHALPNN,SCHOOLFIELD@ALPENA,-89.969444,35.22501,23,,1,7
POINT (-89.90485099999995 35.19819200000006),2458,1126,RALHOONF,RALEIGH LAGRANG@HOOVER,-89.904851,35.198192,24,,2,1
POINT (-89.90104699999995 35.00602500000008),1165,2512,HOLPLEWN,HOLMES@PLEASANT HILL,-89.901047,35.006025,17,,11,3
POINT (-89.98267699999997 35.13363700000008),3196,2996,UNIEPAWN,UNION AVE@E PARKWAY AVE,-89.982677,35.133637,11,,8,4
POINT (-89.96703099999996 35.12383900000003),316,3522,CENFENWN,CENTRAL AVE@FENWICK RD,-89.967031,35.123839,10,,9,4
POINT (-89.97969599999999 35.174833000000035),458,6828,CHETREWN,CHELSEA@TREZEVANT,-89.979696,35.174833,8,,7,7
POINT (-90.00750099999999 35.077698000000055),96,4690,ALCROZEN,ALCY@ROZELLE,-90.007501,35.077698,13,,14,5
POINT (-89.99317199999996 35.241363000000035),1985,1471,OVEHAWNN,OVERTON CROSSING@HAWKINS MILL,-89.993172,35.241363,23,,1,7
POINT (-89.83151599999997 35.034699000000046),2511,7149,RIVRAISF,RIVERDALE@RAINES,-89.831516,35.034699,31,,10,2
POINT (-89.93463099999997 35.08676200000008),661,4194,ELLECHEF,ELLISTON@ECHLES,-89.934631,35.086762,10,,5,5
POINT (-89.91145099999994 35.11829000000006),2284,2032,POPGROWN,POPLAR@ GROVE PARK,-89.911451,35.11829,16,,9,4
